id,Location,Price,Description,Image
84,City Center,9957,A spacious City Center house with Parking.,image_8.jpg
85,Mountain View,3302,A cozy Mountain View house with Parking.,image_2.jpg
86,Rural,5951,A spacious Rural house with Parking.,image_2.jpg
87,Beachfront,3859,A modern Beachfront house with Breakfast Included.,image_2.jpg
88,City Center,1824,A modern City Center house with Breakfast Included.,image_2.jpg
89,Suburban,3960,A cozy Suburban house with Pool.,image_1.jpg
90,Suburban,1677,A spacious Suburban house with Wi-Fi.,image_2.jpg
91,Beachfront,7319,A modern Beachfront house with Parking.,image_10.jpg
92,Mountain View,8614,A modern Mountain View house with Breakfast Included.,image_6.jpg
93,Beachfront,4469,A modern Beachfront house with Breakfast Included.,image_7.jpg
94,Beachfront,1892,A spacious Beachfront house with Gym.,image_4.jpg
95,City Center,6816,A cozy City Center house with Breakfast Included.,image_7.jpg
96,Suburban,5041,A modern Suburban house with Gym.,image_3.jpg
97,Beachfront,3706,A spacious Beachfront house with Breakfast Included.,image_6.jpg
98,Rural,5628,A modern Rural house with Wi-Fi.,image_1.jpg
99,City Center,4982,A modern City Center house with Wi-Fi.,image_4.jpg
100,City Center,2583,A modern City Center house with Parking.,image_1.jpg
